Time,Channel A
(us),(V)

-0.00500000,0.63386950
0.00000000,0.62440870
0.00500000,0.62440870
0.01000000,0.62440870
0.01500000,0.62440870
0.02000000,0.62440870
0.02500000,0.62440870
0.03000000,0.62440870
0.03500000,0.62440870
0.04000000,0.62440870
0.04500000,0.62440870
0.05000000,0.62440870
0.05500000,0.62440870
0.06000000,0.62440870
0.06500000,0.62440870
0.07000000,0.62440870
0.07500000,0.62440870
0.08000000,0.62440870
0.08500000,0.62440870
0.09000000,0.62440870
0.09500000,0.62440870
0.10000000,0.62440870
0.10500000,0.62440870
0.11000000,0.62440870
0.11500000,0.62440870
0.12000000,0.62440870
0.12500000,0.62440870
0.13000000,0.62440870
0.13500000,0.62440870
0.14000000,0.62440870
0.14500000,0.62440870
0.15000000,0.62440870
0.15500000,0.62440870
0.16000000,0.62440870
0.16500000,0.62440870
0.17000000,0.62440870
0.17500000,0.62440870
0.18000000,0.62440870
0.18500000,0.62440870
0.19000000,0.62440870
0.19500000,0.62440870
0.20000000,0.62440870
0.20500000,0.62440870
0.21000000,0.62440870
0.21500000,0.62440870
0.22000000,0.62440870
0.22500000,0.62440870
0.23000000,0.62440870
0.23500000,0.62440870
0.24000000,0.62440870
0.24500000,0.62440870
0.25000000,0.62440870
0.25500000,0.62440870
0.26000000,0.62440870
0.26500000,0.62440870
0.27000000,0.62562940
0.27500000,0.63112280
0.28000000,0.60457170
0.28500000,0.54719690
0.29000000,0.54719690
0.29500000,0.60457170
0.30000000,0.63112280
0.30500000,0.62562940
0.31000000,0.62440870
0.31500000,0.62440870
0.32000000,0.62440870
0.32500000,0.62440870
0.33000000,0.62440870
0.33500000,0.62440870
0.34000000,0.62440870
0.34500000,0.62440870
0.35000000,0.62440870
0.35500000,0.62440870
0.36000000,0.62440870
0.36500000,0.62440870
0.37000000,0.62440870
0.37500000,0.62440870
0.38000000,0.62440870
0.38500000,0.62440870
0.39000000,0.62440870
0.39500000,0.62440870
0.40000000,0.62440870
0.40500000,0.62440870
0.41000000,0.62440870
0.41500000,0.62440870
0.42000000,0.62562940
0.42500000,0.63112280
0.43000000,0.60457170
0.43500000,0.54719690
0.44000000,0.54719690
0.44500000,0.60457170
0.45000000,0.63112280
0.45500000,0.62562940
0.46000000,0.62440870
0.46500000,0.62440870
0.47000000,0.62440870
0.47500000,0.62440870
0.48000000,0.62440870
0.48500000,0.62440870
0.49000000,0.62440870
0.49500000,0.62440870
0.50000000,0.62440870
0.50500000,0.62440870
0.51000000,0.62440870
0.51500000,0.62440870
0.52000000,0.62562940
0.52500000,0.63112280
0.53000000,0.60457170
0.53500000,0.54719690
0.54000000,0.54872280
0.54500000,0.61098060
0.55000000,0.61098060
0.55500000,0.54872280
0.56000000,0.54719690
0.56500000,0.60457170
0.57000000,0.63112280
0.57500000,0.62562940
0.58000000,0.62440870
0.58500000,0.62440870
0.59000000,0.62440870
0.59500000,0.62440870
0.60000000,0.62440870
0.60500000,0.62440870
0.61000000,0.62440870
0.61500000,0.62440870
0.62000000,0.62562940
0.62500000,0.63112280
0.63000000,0.60457170
0.63500000,0.54719690
0.64000000,0.54872280
0.64500000,0.61098060
0.65000000,0.61098060
0.65500000,0.54872280
0.66000000,0.54872280
0.66500000,0.61098060
0.67000000,0.61098060
0.67500000,0.54872280
0.68000000,0.54872280
0.68500000,0.61098060
0.69000000,0.61098060
0.69500000,0.54872280
0.70000000,0.54719690
0.70500000,0.60457170
0.71000000,0.63234350
0.71500000,0.63234350
0.72000000,0.60579240
0.72500000,0.55391100
0.73000000,0.52858060
0.73500000,0.53407390
0.74000000,0.53529470
0.74500000,0.53529470
0.75000000,0.53407390
0.75500000,0.52858060
0.76000000,0.55513170
0.76500000,0.61250650
0.77000000,0.61250650
0.77500000,0.55513170
0.78000000,0.52858060
0.78500000,0.53407390
0.79000000,0.53529470
0.79500000,0.53529470
0.80000000,0.53529470
0.80500000,0.53529470
0.81000000,0.53529470
0.81500000,0.53529470
0.82000000,0.53529470
0.82499999,0.53529470
0.82999999,0.53529470
0.83499999,0.53529470
0.83999999,0.53529470
0.84499999,0.53529470
0.84999999,0.53529470
0.85499999,0.53529470
0.85999999,0.53529470
0.86499999,0.53529470
0.86999999,0.53529470
0.87499999,0.53529470
0.87999999,0.53529470
0.88499999,0.53529470
0.88999999,0.53529470
0.89499999,0.53529470
0.89999999,0.53529470
0.90499999,0.53529470
0.90999999,0.53529470
0.91499999,0.53529470
0.91999999,0.53651540
0.92499999,0.54200880
0.92999999,0.51545760
0.93499999,0.45808280
0.93999999,0.45808280
0.94499999,0.51545760
0.94999999,0.54322950
0.95499999,0.54322950
0.95999999,0.51667840
0.96499999,0.46479690
0.96999999,0.43824580
0.97499999,0.43824580
0.97999999,0.46601760
0.98499999,0.52339240
0.98999999,0.52339240
0.99499999,0.46601760
0.99999999,0.43946650
1.00499999,0.44495990
1.00999999,0.44495990
1.01499999,0.43946650
1.01999999,0.46601760
1.02499999,0.52339240
1.02999999,0.52186650
1.03499999,0.45960880
1.03999999,0.45960880
1.04499999,0.52186650
1.04999999,0.52339240
1.05499999,0.46601760
1.05999999,0.43824580
1.06499999,0.43824580
1.06999999,0.46479690
1.07499999,0.51667840
1.07999999,0.54322950
1.08499999,0.54322950
1.08999999,0.51667840
1.09499999,0.46479690
1.09999999,0.43824580
1.10499999,0.43824580
1.10999999,0.46601760
1.11499999,0.52339240
1.11999999,0.52339240
1.12499999,0.46601760
1.12999999,0.43946650
1.13499999,0.44495990
1.13999999,0.44618060
1.14499999,0.44618060
1.14999999,0.44618060
1.15499999,0.44618060
1.15999999,0.44618060
1.16499999,0.44618060
1.16999999,0.44618060
1.17499999,0.44618060
1.17999999,0.44618060
1.18499999,0.44618060
1.18999999,0.44618060
1.19499999,0.44618060
1.19999999,0.44618060
1.20499999,0.44618060
1.20999999,0.44618060
1.21499999,0.44618060
1.21999999,0.44618060
1.22499999,0.44618060
1.22999999,0.44618060
1.23499999,0.44618060
1.23999999,0.44618060
1.24499999,0.44618060
1.24999999,0.44618060
1.25499999,0.44618060
1.25999999,0.44618060
1.26499999,0.44618060
1.26999999,0.44618060
1.27499999,0.44618060
1.27999999,0.44618060
1.28499999,0.44618060
1.28999999,0.44618060
1.29499999,0.44618060
1.29999999,0.44618060
1.30499999,0.44618060
1.30999999,0.44618060
1.31499999,0.44618060
1.31999999,0.44618060
1.32499999,0.44618060
1.32999999,0.44618060
1.33499999,0.44618060
1.33999999,0.44618060
1.34499999,0.44618060
1.34999999,0.44740130
1.35499999,0.45289470
1.35999999,0.42634360
1.36499999,0.36896880
1.36999999,0.37049470
1.37499999,0.43275250
1.37999999,0.43427840
1.38499999,0.37690360
1.38999999,0.35035250
1.39499999,0.35584580
1.39999999,0.35706660
1.40499999,0.35706660
1.40999999,0.35706660
1.41499999,0.35706660
1.41999999,0.35584580
1.42499999,0.35035250
1.42999999,0.37690360
1.43499999,0.43427840
1.43999999,0.43427840
1.44499999,0.37690360
1.44999999,0.34913180
1.45499999,0.34913180
1.45999999,0.37568290
1.46499999,0.42756430
1.46999999,0.45411540
1.47499999,0.45411540
1.47999999,0.42756430
1.48499999,0.37568290
1.48999999,0.35035250
1.49499999,0.35584580
1.49999999,0.35706660
1.50499999,0.35706660
1.50999999,0.35584580
1.51499999,0.35035250
1.51999999,0.37690360
1.52499999,0.43427840
1.52999999,0.43275250
1.53499999,0.37049470
1.53999999,0.37049470
1.54499999,0.43275250
1.54999999,0.43427840
1.55499999,0.37690360
1.55999999,0.35035250
1.56499999,0.35584580
1.56999999,0.35706660
1.57499999,0.35706660
1.57999999,0.35706660
1.58499999,0.35706660
1.58999999,0.35706660
1.59499999,0.35706660
1.59999999,0.35706660
1.60499999,0.35706660
1.60999999,0.35706660
1.61499999,0.35706660
1.61999999,0.35706660
1.62499999,0.35706660
1.62999999,0.35706660
1.63499999,0.35706660
1.63999999,0.35706660
1.64499999,0.35706660
1.64999999,0.35706660
1.65499999,0.35706660
1.65999999,0.35706660
1.66499999,0.35706660
1.66999999,0.35706660
1.67499999,0.35706660
1.67999999,0.35706660
1.68499999,0.35706660
1.68999999,0.35706660
1.69499999,0.35706660
1.69999999,0.35706660
1.70499999,0.35706660
1.70999999,0.35706660
1.71499999,0.35706660
1.71999999,0.35706660
1.72499999,0.35706660
1.72999999,0.35706660
1.73499999,0.35706660
1.73999999,0.35706660
1.74499999,0.35706660
1.74999999,0.35706660
1.75499999,0.35706660
1.75999999,0.35706660
1.76499999,0.35706660
1.76999999,0.35706660
1.77499999,0.35706660
1.77999999,0.35706660
1.78499999,0.35706660
1.78999999,0.35706660
1.79499999,0.35706660
1.79999999,0.35706660
1.80499999,0.35706660
1.80999999,0.35706660
1.81499999,0.35706660
1.81999999,0.35706660
1.82499999,0.35706660
1.82999999,0.35706660
1.83499999,0.35706660
1.83999999,0.35706660
1.84499999,0.35706660
1.84999999,0.35706660
1.85499999,0.35706660
1.85999999,0.35706660
1.86499999,0.35706660
1.86999999,0.35828730
1.87499999,0.36378060
1.87999999,0.33722950
1.88499999,0.27985470
1.88999999,0.27985470
1.89499999,0.33722950
1.89999999,0.36500140
1.90499999,0.36500140
1.90999999,0.33722950
1.91499999,0.27985470
1.91999999,0.28138070
1.92499999,0.34363840
1.92999999,0.34363840
1.93499999,0.28138070
1.93999999,0.28138070
1.94499999,0.34363840
1.94999999,0.34516430
1.95499999,0.28778960
1.95999999,0.26001770
1.96499999,0.26001770
1.96999999,0.28778960
1.97499999,0.34516430
1.97999999,0.34516430
1.98499999,0.28778960
1.98999999,0.26123850
1.99499999,0.26673180
1.99999999,0.26795250
2.00499999,0.26795250
2.00999999,0.26795250
2.01499999,0.26795250
2.01999999,0.26795250
2.02499999,0.26795250
2.02999999,0.26795250
2.03499999,0.26795250
2.03999999,0.26795250
2.04499999,0.26795250
2.04999999,0.26795250
2.05499999,0.26795250
2.05999999,0.26795250
2.06499999,0.26795250
2.06999999,0.26795250
2.07499999,0.26795250
2.07999999,0.26795250
2.08499999,0.26795250
2.08999999,0.26795250
2.09499999,0.26795250
2.09999999,0.26795250
2.10499999,0.26795250
2.10999999,0.26795250
2.11499999,0.26795250
2.11999999,0.26795250
2.12499999,0.26795250
2.12999999,0.26795250
2.13499999,0.26795250
2.13999999,0.26795250
2.14499999,0.26795250
2.14999999,0.26795250
2.15499999,0.26795250
2.15999999,0.26795250
2.16499999,0.26795250
2.16999999,0.26795250
2.17499999,0.26795250
2.17999999,0.26795250
2.18499999,0.26795250
2.18999999,0.26795250
2.19499999,0.26795250
2.19999999,0.26795250
2.20499999,0.26795250
2.20999999,0.26795250
2.21499999,0.26795250
2.21999999,0.26795250
2.22499999,0.26795250
2.22999999,0.26795250
2.23499999,0.26795250
2.23999999,0.26795250
2.24499999,0.26795250
2.24999999,0.26795250
2.25499999,0.26795250
2.25999999,0.26795250
2.26499999,0.26795250
2.26999999,0.26795250
2.27499999,0.26795250
2.27999999,0.26795250
2.28499999,0.26795250
2.28999999,0.26795250
2.29499999,0.26795250
2.29999999,0.26795250
2.30499999,0.26795250
2.30999999,0.26795250
2.31499999,0.26795250
2.31999999,0.26795250
2.32499999,0.26795250
2.32999999,0.26795250
2.33499999,0.26795250
2.33999999,0.26795250
2.34499999,0.26795250
2.34999999,0.26795250
2.35499999,0.26795250
2.35999999,0.26795250
2.36499999,0.26795250
2.36999999,0.26795250
2.37499999,0.26795250
2.37999999,0.26795250
2.38499999,0.26795250
2.38999999,0.26795250
2.39499999,0.26795250
2.39999999,0.26917330
2.40499999,0.27466660
2.40999999,0.24811550
2.41499999,0.19074070
2.41999999,0.19074070
2.42499999,0.24811550
2.42999999,0.27466660
2.43499999,0.26917330
2.43999999,0.26795250
2.44499999,0.26795250
2.44999999,0.26795250
2.45499999,0.26795250
2.45999999,0.26795250
2.46499999,0.26795250
2.46999998,0.26795250
2.47499998,0.26795250
2.47999998,0.26795250
2.48499998,0.26795250
2.48999998,0.26795250
2.49499998,0.26795250
2.49999998,0.26795250
2.50499998,0.26795250
2.50999998,0.26917330
2.51499998,0.27466660
2.51999998,0.24811550
2.52499998,0.19074070
2.52999998,0.19074070
2.53499998,0.24811550
2.53999998,0.27466660
2.54499998,0.26917330
2.54999998,0.26795250
2.55499998,0.26795250
2.55999998,0.26795250
2.56499998,0.26795250
2.56999998,0.26917330
2.57499998,0.27466660
2.57999998,0.24933620
2.58499998,0.19745480
2.58999998,0.17212440
2.59499998,0.17761770
2.59999998,0.17883850
2.60499998,0.17883850
2.60999998,0.17761770
2.61499998,0.17212440
2.61999998,0.19867550
2.62499998,0.25605030
2.62999998,0.25605030
2.63499998,0.19867550
2.63999998,0.17212440
2.64499998,0.17761770
2.64999998,0.17883850
2.65499998,0.17883850
2.65999998,0.17883850
2.66499998,0.17883850
2.66999998,0.17883850
2.67499998,0.17883850
2.67999998,0.18005920
2.68499998,0.18555250
2.68999998,0.15900140
2.69499998,0.10162660
2.69999998,0.10162660
2.70499998,0.15900140
2.70999998,0.18555250
2.71499998,0.18005920
2.71999998,0.17883850
2.72499998,0.17883850
2.72999998,0.17883850
2.73499998,0.17883850
2.73999998,0.17883850
2.74499998,0.17883850
2.74999998,0.17883850
2.75499998,0.17883850
2.75999998,0.17883850
2.76499998,0.17883850
2.76999998,0.17883850
2.77499998,0.17883850
2.77999998,0.18005920
2.78499998,0.18555250
2.78999998,0.16022220
2.79499998,0.10834070
2.79999998,0.08178961
2.80499998,0.08178961
2.80999998,0.10834070
2.81499998,0.16022220
2.81999998,0.18555250
2.82499998,0.18005920
2.82999998,0.18005920
2.83499998,0.18555250
2.83999998,0.15900140
2.84499998,0.10162660
2.84999998,0.10315260
2.85499998,0.16541030
2.85999998,0.16541030
2.86499998,0.10315260
2.86999998,0.10315260
2.87499998,0.16541030
2.87999998,0.16541030
2.88499998,0.10315260
2.88999998,0.10315260
2.89499998,0.16541030
2.89999998,0.16693620
2.90499998,0.10956150
2.90999998,0.08301035
2.91499998,0.08850368
2.91999998,0.08972442
2.92499998,0.08972442
2.92999998,0.08972442
2.93499998,0.08972442
2.93999998,0.08972442
2.94499998,0.08972442
2.94999998,0.08972442
2.95499998,0.08972442
2.95999998,0.08850368
2.96499998,0.08301035
2.96999998,0.10956150
2.97499998,0.16693620
2.97999998,0.16693620
2.98499998,0.10956150
2.98999998,0.08301035
2.99499998,0.08850368
2.99999998,0.08972442
3.00499998,0.08972442
3.00999998,0.08972442
3.01499998,0.08972442
3.01999998,0.08972442
3.02499998,0.08972442
3.02999998,0.08972442
3.03499998,0.08972442
3.03999998,0.08972442
3.04499998,0.08972442
3.04999998,0.08972442
3.05499998,0.08972442
3.05999998,0.08972442
3.06499998,0.08972442
3.06999998,0.08972442
3.07499998,0.08972442
3.07999998,0.08972442
3.08499998,0.08972442
3.08999998,0.08972442
3.09499998,0.08972442
3.09999998,0.08972442
3.10499998,0.08972442
3.10999998,0.08972442
3.11499998,0.08972442
3.11999998,0.08972442
3.12499998,0.08972442
3.12999998,0.08972442
3.13499998,0.08972442
3.13999998,0.08972442
3.14499998,0.08972442
3.14999998,0.08972442
3.15499998,0.08972442
3.15999998,0.08972442
3.16499998,0.08972442
3.16999998,0.08972442
3.17499998,0.08972442
3.17999998,0.08972442
3.18499998,0.08972442
3.18999998,0.08972442
3.19499998,0.08972442
3.19999998,0.08972442
3.20499998,0.08972442
3.20999998,0.09094516
3.21499998,0.09643849
3.21999998,0.06988738
3.22499998,0.01251259
3.22999998,0.01251259
3.23499998,0.06988738
3.23999998,0.09643849
3.24499998,0.09094516
3.24999998,0.08972442
3.25499998,0.08972442
3.25999998,0.08972442
3.26499998,0.08972442
3.26999998,0.08972442
3.27499998,0.08972442
3.27999998,0.09094516
3.28499998,0.09643849
3.28999998,0.07110813
3.29499998,0.01922666
3.29999998,-0.00732444
3.30499998,-0.00732444
3.30999998,0.01922666
3.31499998,0.07110813
3.31999998,0.09765923
3.32499998,0.09765923
3.32999998,0.07110813
3.33499998,0.01922666
3.33999998,-0.00732444
3.34499998,-0.00732444
3.34999998,0.02044740
3.35499998,0.07782220
3.35999998,0.07629628
3.36499998,0.01403851
3.36999998,0.01403851
3.37499998,0.07629628
3.37999998,0.07782220
3.38499998,0.02044740
3.38999998,-0.00732444
3.39499998,-0.00732444
3.39999998,0.02044740
3.40499998,0.07782220
3.40999998,0.07782220
3.41499998,0.02044740
3.41999998,-0.00610370
3.42499998,-0.00061037
3.42999998,0.00061037
3.43499998,0.00061037
3.43999998,0.00061037
3.44499998,0.00061037
3.44999998,0.00061037
3.45499998,0.00061037
3.45999998,0.00061037
3.46499998,0.00061037
3.46999998,0.00061037
3.47499998,0.00061037
3.47999998,0.00061037
3.48499998,0.00061037
3.48999998,0.00061037
3.49499998,0.00061037
3.49999998,0.00061037
3.50499998,0.00061037
3.50999998,0.00061037
3.51499998,0.00061037
3.51999998,0.00061037
3.52499998,0.00061037
3.52999998,0.00061037
3.53499998,0.00061037
3.53999998,0.00061037
3.54499998,0.00061037
3.54999998,0.00061037
3.55499998,0.00061037
3.55999998,0.00061037
3.56499998,0.00061037
3.56999998,0.00061037
3.57499998,0.00061037
3.57999998,0.00061037
3.58499998,0.00061037
3.58999998,0.00061037
3.59499998,0.00061037
3.59999998,0.00061037
3.60499998,0.00061037
3.60999998,0.00061037
3.61499998,0.00061037
3.61999998,0.00061037
3.62499998,0.00061037
3.62999998,0.00061037
3.63499998,0.00061037
3.63999998,0.00061037
3.64499998,0.00061037
3.64999998,0.00061037
3.65499998,0.00061037
3.65999998,0.00061037
3.66499998,0.00061037
3.66999998,0.00061037
3.67499998,0.00061037
3.67999998,0.00061037
3.68499998,0.00061037
3.68999998,0.00061037
3.69499998,0.00061037
3.69999998,0.00183111
3.70499998,0.00732444
3.70999998,-0.01922666
3.71499998,-0.07660146
3.71999998,-0.07660146
3.72499998,-0.01922666
3.72999998,0.00732444
3.73499998,0.00183111
3.73999998,0.00061037
3.74499998,0.00061037
3.74999998,0.00061037
3.75499998,0.00061037
3.75999998,0.00183111
3.76499998,0.00732444
3.76999998,-0.01922666
3.77499998,-0.07660146
3.77999998,-0.07660146
3.78499998,-0.01922666
3.78999998,0.00732444
3.79499998,0.00183111
3.79999998,0.00183111
3.80499998,0.00732444
3.80999998,-0.01800592
3.81499998,-0.06988738
3.81999998,-0.09521775
3.82499998,-0.08972442
3.82999998,-0.08850368
3.83499998,-0.08850368
3.83999998,-0.08850368
3.84499998,-0.08850368
3.84999998,-0.08850368
3.85499998,-0.08850368
3.85999998,-0.08850368
3.86499998,-0.08850368
3.86999998,-0.08850368
3.87499998,-0.08850368
3.87999998,-0.08972442
3.88499998,-0.09521775
3.88999998,-0.06866664
3.89499998,-0.01129185
3.89999998,-0.01129185
3.90499998,-0.06866664
3.90999998,-0.09521775
3.91499998,-0.08972442
3.91999998,-0.08850368
3.92499998,-0.08850368
3.92999998,-0.08850368
3.93499998,-0.08850368
3.93999998,-0.08850368
3.94499998,-0.08850368
3.94999998,-0.08850368
3.95499998,-0.08850368
3.95999998,-0.08850368
3.96499998,-0.08850368
3.96999998,-0.08850368
3.97499998,-0.08850368
3.97999998,-0.08850368
3.98499998,-0.08850368
3.98999998,-0.08850368
3.99499998,-0.08850368
3.99999998,-0.08850368
4.00499998,-0.08850368
4.00999998,-0.08850368
4.01499998,-0.08850368
4.01999998,-0.08850368
4.02499998,-0.08850368
4.02999998,-0.08850368
4.03499998,-0.08850368
4.03999998,-0.08850368
4.04499998,-0.08850368
4.04999998,-0.08850368
4.05499998,-0.08850368
4.05999998,-0.08850368
4.06499998,-0.08850368
4.06999998,-0.08850368
4.07499998,-0.08850368
4.07999998,-0.08850368
4.08499998,-0.08850368
4.08999998,-0.08850368
4.09499998,-0.08850368
4.09999998,-0.08850368
4.10499998,-0.08850368
4.10999998,-0.08850368
4.11499997,-0.08850368
4.11999997,-0.08850368
4.12499997,-0.08850368
4.12999997,-0.08850368
4.13499997,-0.08850368
4.13999997,-0.08850368
4.14499997,-0.08850368
4.14999997,-0.08850368
4.15499997,-0.08850368
4.15999997,-0.08850368
4.16499997,-0.08850368
4.16999997,-0.08850368
4.17499997,-0.08850368
4.17999997,-0.08850368
4.18499997,-0.08850368
4.18999997,-0.08850368
4.19499997,-0.08850368
4.19999997,-0.08850368
4.20499997,-0.08850368
4.20999997,-0.08850368
4.21499997,-0.08850368
4.21999997,-0.08850368
4.22499997,-0.08850368
4.22999997,-0.08850368
4.23499997,-0.08850368
4.23999997,-0.08850368
4.24499997,-0.08850368
4.24999997,-0.08850368
4.25499997,-0.08850368
4.25999997,-0.08728294
4.26499997,-0.08178961
4.26999997,-0.10834070
4.27499997,-0.16571550
4.27999997,-0.16418960
4.28499997,-0.10193180
4.28999997,-0.10193180
4.29499997,-0.16418960
4.29999997,-0.16571550
4.30499997,-0.10834070
4.30999997,-0.08178961
4.31499997,-0.08728294
4.31999997,-0.08850368
4.32499997,-0.08850368
4.32999997,-0.08850368
4.33499997,-0.08850368
4.33999997,-0.08728294
4.34499997,-0.08178961
4.34999997,-0.10834070
4.35499997,-0.16571550
4.35999997,-0.16571550
4.36499997,-0.10834070
4.36999997,-0.08056886
4.37499997,-0.08056886
4.37999997,-0.10712000
4.38499997,-0.15900140
4.38999997,-0.18433180
4.39499997,-0.17883850
4.39999997,-0.17761770
4.40499997,-0.17761770
4.40999997,-0.17761770
4.41499997,-0.17761770
4.41999997,-0.17761770
4.42499997,-0.17761770
4.42999997,-0.17761770
4.43499997,-0.17761770
4.43999997,-0.17761770
4.44499997,-0.17761770
4.44999997,-0.17761770
4.45499997,-0.17761770
4.45999997,-0.17883850
4.46499997,-0.18433180
4.46999997,-0.15900140
4.47499997,-0.10712000
4.47999997,-0.08056886
4.48499997,-0.08056886
4.48999997,-0.10712000
4.49499997,-0.15900140
4.49999997,-0.18433180
4.50499997,-0.17883850
4.50999997,-0.17761770
4.51499997,-0.17761770
4.51999997,-0.17761770
4.52499997,-0.17761770
4.52999997,-0.17761770
4.53499997,-0.17761770
4.53999997,-0.17761770
4.54499997,-0.17761770
4.54999997,-0.17761770
4.55499997,-0.17761770
4.55999997,-0.17761770
4.56499997,-0.17761770
4.56999997,-0.17761770
4.57499997,-0.17761770
4.57999997,-0.17761770
4.58499997,-0.17761770
4.58999997,-0.17761770
4.59499997,-0.17761770
4.59999997,-0.17761770
4.60499997,-0.17761770
4.60999997,-0.17761770
4.61499997,-0.17761770
4.61999997,-0.17761770
4.62499997,-0.17761770
4.62999997,-0.17761770
4.63499997,-0.17761770
4.63999997,-0.17761770
4.64499997,-0.17761770
4.64999997,-0.17639700
4.65499997,-0.17090370
4.65999997,-0.19745480
4.66499997,-0.25482960
4.66999997,-0.25482960
4.67499997,-0.19745480
4.67999997,-0.17090370
4.68499997,-0.17639700
4.68999997,-0.17761770
4.69499997,-0.17761770
4.69999997,-0.17639700
4.70499997,-0.17090370
4.70999997,-0.19745480
4.71499997,-0.25482960
4.71999997,-0.25482960
4.72499997,-0.19745480
4.72999997,-0.17090370
4.73499997,-0.17639700
4.73999997,-0.17639700
4.74499997,-0.17090370
4.74999997,-0.19623400
4.75499997,-0.24811550
4.75999997,-0.27466660
4.76499997,-0.27466660
4.76999997,-0.24689470
4.77499997,-0.18951990
4.77999997,-0.19104590
4.78499997,-0.25330360
4.78999997,-0.25330360
4.79499997,-0.19104590
4.79999997,-0.18951990
4.80499997,-0.24689470
4.80999997,-0.27344580
4.81499997,-0.26795250
4.81999997,-0.26673180
4.82499997,-0.26673180
4.82999997,-0.26673180
4.83499997,-0.26673180
4.83999997,-0.26673180
4.84499997,-0.26673180
4.84999997,-0.26673180
4.85499997,-0.26673180
4.85999997,-0.26795250
4.86499997,-0.27344580
4.86999997,-0.24689470
4.87499997,-0.18951990
4.87999997,-0.18951990
4.88499997,-0.24689470
4.88999997,-0.27344580
4.89499997,-0.26795250
4.89999997,-0.26673180
4.90499997,-0.26673180
4.90999997,-0.26673180
4.91499997,-0.26673180
4.91999997,-0.26673180
4.92499997,-0.26673180
4.92999997,-0.26673180
4.93499997,-0.26673180
4.93999997,-0.26673180
4.94499997,-0.26673180
4.94999997,-0.26673180
4.95499997,-0.26673180
4.95999997,-0.26673180
4.96499997,-0.26673180
4.96999997,-0.26673180
4.97499997,-0.26673180
4.97999997,-0.26673180
4.98499997,-0.26673180
4.98999997,-0.26673180
4.99499997,-0.26673180
4.99999997,-0.26673180
5.00499997,-0.26673180
5.00999997,-0.26673180
5.01499997,-0.26673180
5.01999997,-0.26673180
5.02499997,-0.26673180
5.02999997,-0.26673180
5.03499997,-0.26673180
5.03999997,-0.26673180
5.04499997,-0.26673180
5.04999997,-0.26673180
5.05499997,-0.26673180
5.05999997,-0.26673180
